,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneA02_cell2581.0,,0.0,
U54-TMA-9_sceneA02_cell2603.0,,0.0,
U54-TMA-9_sceneA02_cell2614.0,,,0.0
U54-TMA-9_sceneA02_cell2615.0,,,1.0
U54-TMA-9_sceneA02_cell2620.0,,,0.0
U54-TMA-9_sceneA02_cell2692.0,,0.0,
U54-TMA-9_sceneA05_cell204.0,1.0,,
U54-TMA-9_sceneA05_cell330.0,2.0,,
U54-TMA-9_sceneA05_cell419.0,1.0,,
U54-TMA-9_sceneA05_cell427.0,2.0,,
U54-TMA-9_sceneA05_cell492.0,3.0,,
U54-TMA-9_sceneA05_cell604.0,0.0,,
U54-TMA-9_sceneA05_cell622.0,7.0,0.0,
U54-TMA-9_sceneA05_cell635.0,3.0,,
U54-TMA-9_sceneA05_cell838.0,1.0,,
U54-TMA-9_sceneA05_cell877.0,1.0,,
U54-TMA-9_sceneA05_cell1060.0,3.0,,
U54-TMA-9_sceneA05_cell1103.0,1.0,,
U54-TMA-9_sceneA05_cell1203.0,2.0,,
U54-TMA-9_sceneA05_cell1301.0,0.0,,
U54-TMA-9_sceneA05_cell1400.0,3.0,,
U54-TMA-9_sceneA05_cell1418.0,2.0,,
U54-TMA-9_sceneA05_cell1445.0,1.0,,
U54-TMA-9_sceneA05_cell1467.0,2.0,,
U54-TMA-9_sceneA05_cell1512.0,1.0,,
U54-TMA-9_sceneA05_cell1514.0,1.0,,
U54-TMA-9_sceneA05_cell1555.0,2.0,,
U54-TMA-9_sceneA05_cell1580.0,0.0,,
U54-TMA-9_sceneA05_cell1661.0,1.0,,
U54-TMA-9_sceneA05_cell1668.0,11.0,,
U54-TMA-9_sceneA05_cell1696.0,3.0,,
U54-TMA-9_sceneA05_cell1969.0,1.0,,
U54-TMA-9_sceneA05_cell1992.0,1.0,,
U54-TMA-9_sceneA05_cell2033.0,0.0,,
U54-TMA-9_sceneA05_cell2041.0,1.0,,
U54-TMA-9_sceneA05_cell2106.0,0.0,,
U54-TMA-9_sceneA05_cell2168.0,2.0,0.0,
U54-TMA-9_sceneA05_cell2178.0,9.0,2.0,
U54-TMA-9_sceneA05_cell2213.0,0.0,,
U54-TMA-9_sceneA05_cell2285.0,2.0,,
U54-TMA-9_sceneA05_cell2301.0,2.0,,
U54-TMA-9_sceneA05_cell2303.0,1.0,,
U54-TMA-9_sceneA05_cell2388.0,7.0,1.0,
U54-TMA-9_sceneA05_cell2421.0,1.0,,
U54-TMA-9_sceneA05_cell2551.0,1.0,,
U54-TMA-9_sceneA05_cell2626.0,13.0,,
U54-TMA-9_sceneA05_cell2723.0,0.0,,
U54-TMA-9_sceneA05_cell2861.0,1.0,,
U54-TMA-9_sceneA05_cell2902.0,1.0,,
U54-TMA-9_sceneA05_cell2921.0,4.0,,
U54-TMA-9_sceneA05_cell3029.0,1.0,,
U54-TMA-9_sceneA05_cell3191.0,4.0,,
U54-TMA-9_sceneA05_cell3224.0,1.0,,
U54-TMA-9_sceneA05_cell3287.0,0.0,,
U54-TMA-9_sceneA05_cell3350.0,,0.0,
U54-TMA-9_sceneA05_cell3427.0,2.0,,
U54-TMA-9_sceneA05_cell3514.0,1.0,,
U54-TMA-9_sceneA05_cell3544.0,0.0,,
U54-TMA-9_sceneA05_cell3637.0,4.0,,
U54-TMA-9_sceneA05_cell3671.0,1.0,,
U54-TMA-9_sceneA05_cell3676.0,7.0,,
U54-TMA-9_sceneA05_cell3860.0,1.0,,
U54-TMA-9_sceneA05_cell3977.0,0.0,,
U54-TMA-9_sceneA05_cell3992.0,2.0,,
U54-TMA-9_sceneA05_cell4033.0,0.0,,
U54-TMA-9_sceneA05_cell4086.0,1.0,,
