,gH2AX_foci,pRPA_foci,RAD51_foci
U54-TMA-9_sceneC09_cell3441.0,0.0,,
U54-TMA-9_sceneC09_cell3472.0,,,0.0
U54-TMA-9_sceneC09_cell3480.0,1.0,,
U54-TMA-9_sceneC09_cell3511.0,1.0,,
U54-TMA-9_sceneC09_cell3574.0,0.0,,
U54-TMA-9_sceneC09_cell3631.0,1.0,,
U54-TMA-9_sceneC09_cell3639.0,1.0,,0.0
U54-TMA-9_sceneC09_cell3641.0,1.0,,
U54-TMA-9_sceneC09_cell3650.0,,,0.0
U54-TMA-9_sceneC09_cell3666.0,2.0,,
U54-TMA-9_sceneC09_cell3690.0,1.0,,0.0
U54-TMA-9_sceneC09_cell3710.0,,,0.0
U54-TMA-9_sceneC09_cell3793.0,,,0.0
U54-TMA-9_sceneC09_cell3812.0,2.0,,0.0
U54-TMA-9_sceneC09_cell3819.0,,,0.0
U54-TMA-9_sceneC09_cell3863.0,,,0.0
U54-TMA-9_sceneC09_cell3868.0,,,0.0
U54-TMA-9_sceneC09_cell3889.0,,,0.0
U54-TMA-9_sceneC09_cell3906.0,,,0.0
U54-TMA-9_sceneC09_cell3944.0,,,0.0
U54-TMA-9_sceneC09_cell3949.0,,,0.0
U54-TMA-9_sceneC09_cell3950.0,,,0.0
U54-TMA-9_sceneC09_cell3975.0,,,0.0
U54-TMA-9_sceneC09_cell3984.0,,,0.0
U54-TMA-9_sceneC09_cell4076.0,,,0.0
U54-TMA-9_sceneC09_cell4095.0,,,0.0
U54-TMA-9_sceneC09_cell4132.0,,,0.0
U54-TMA-9_sceneC09_cell4206.0,,,0.0
U54-TMA-9_sceneC09_cell4213.0,,,0.0
U54-TMA-9_sceneC09_cell4227.0,,,0.0
U54-TMA-9_sceneC09_cell4301.0,,,0.0
U54-TMA-9_sceneC09_cell4843.0,,,0.0
U54-TMA-9_sceneC09_cell4883.0,,,0.0
U54-TMA-9_sceneC09_cell4948.0,,,0.0
U54-TMA-9_sceneC09_cell4979.0,,,0.0
U54-TMA-9_sceneC09_cell5002.0,0.0,,
U54-TMA-9_sceneC09_cell5013.0,,,0.0
U54-TMA-9_sceneC09_cell5080.0,,,0.0
U54-TMA-9_sceneC09_cell5104.0,,,0.0
U54-TMA-9_sceneC09_cell5112.0,0.0,,
U54-TMA-9_sceneC09_cell5134.0,,,0.0
U54-TMA-9_sceneC09_cell5166.0,,,0.0
U54-TMA-9_sceneC09_cell5223.0,,,0.0
U54-TMA-9_sceneC09_cell5261.0,,,0.0
U54-TMA-9_sceneC09_cell5269.0,,,0.0
U54-TMA-9_sceneC09_cell5271.0,,,0.0
U54-TMA-9_sceneC09_cell5320.0,,,0.0
U54-TMA-9_sceneC09_cell5322.0,,,0.0
U54-TMA-9_sceneC09_cell5351.0,,,0.0
U54-TMA-9_sceneC09_cell5366.0,,,0.0
U54-TMA-9_sceneC09_cell5381.0,,,0.0
U54-TMA-9_sceneC09_cell5386.0,,,0.0
U54-TMA-9_sceneC09_cell5390.0,,,0.0
U54-TMA-9_sceneC09_cell5397.0,5.0,,
U54-TMA-9_sceneC09_cell5411.0,,,0.0
U54-TMA-9_sceneC09_cell5413.0,,,0.0
U54-TMA-9_sceneC09_cell5415.0,2.0,,
U54-TMA-9_sceneC09_cell5448.0,,,0.0
U54-TMA-9_sceneC09_cell6063.0,,,0.0
U54-TMA-9_sceneC09_cell7939.0,2.0,,
U54-TMA-9_sceneC09_cell8034.0,,,0.0
U54-TMA-9_sceneC09_cell8080.0,,,0.0
U54-TMA-9_sceneC09_cell8086.0,,,0.0
U54-TMA-9_sceneC09_cell8089.0,,,0.0
U54-TMA-9_sceneC09_cell8105.0,,,0.0
U54-TMA-9_sceneC09_cell8121.0,,,0.0
U54-TMA-9_sceneC09_cell8187.0,,,0.0
U54-TMA-9_sceneC09_cell8607.0,1.0,,
U54-TMA-9_sceneC09_cell8672.0,2.0,,0.0
U54-TMA-9_sceneC09_cell8718.0,1.0,,0.0
U54-TMA-9_sceneC10_cell132.0,,0.0,
U54-TMA-9_sceneC10_cell150.0,,0.0,
U54-TMA-9_sceneC10_cell170.0,1.0,,
U54-TMA-9_sceneC10_cell172.0,,0.0,
U54-TMA-9_sceneC10_cell182.0,2.0,,
U54-TMA-9_sceneC10_cell218.0,1.0,,
U54-TMA-9_sceneC10_cell238.0,0.0,,
U54-TMA-9_sceneC10_cell338.0,0.0,,
U54-TMA-9_sceneC10_cell349.0,0.0,,
U54-TMA-9_sceneC10_cell351.0,1.0,,
U54-TMA-9_sceneC10_cell503.0,0.0,,
U54-TMA-9_sceneC10_cell543.0,1.0,,
U54-TMA-9_sceneC10_cell554.0,,0.0,
U54-TMA-9_sceneC10_cell615.0,1.0,,
U54-TMA-9_sceneC10_cell884.0,1.0,,
U54-TMA-9_sceneC10_cell942.0,,0.0,
U54-TMA-9_sceneC10_cell990.0,9.0,1.0,
U54-TMA-9_sceneC10_cell1041.0,1.0,,
U54-TMA-9_sceneC10_cell1131.0,,,0.0
U54-TMA-9_sceneC10_cell1255.0,1.0,,
U54-TMA-9_sceneC10_cell1354.0,0.0,,
U54-TMA-9_sceneC10_cell1400.0,,2.0,
U54-TMA-9_sceneC10_cell1559.0,,1.0,
U54-TMA-9_sceneC10_cell1589.0,1.0,0.0,
U54-TMA-9_sceneC10_cell1593.0,,0.0,
U54-TMA-9_sceneC10_cell1646.0,,0.0,
U54-TMA-9_sceneC10_cell1789.0,1.0,,
U54-TMA-9_sceneC10_cell1949.0,,,0.0
U54-TMA-9_sceneC10_cell1992.0,,,0.0
U54-TMA-9_sceneC10_cell1994.0,,,0.0
U54-TMA-9_sceneC10_cell2738.0,,,0.0
U54-TMA-9_sceneC10_cell3730.0,3.0,,
U54-TMA-9_sceneC10_cell4154.0,,,0.0
U54-TMA-9_sceneC10_cell4187.0,,,0.0
U54-TMA-9_sceneC10_cell4202.0,,,0.0
U54-TMA-9_sceneC10_cell4405.0,,0.0,
U54-TMA-9_sceneC10_cell4483.0,,,0.0
U54-TMA-9_sceneC10_cell4786.0,,0.0,
U54-TMA-9_sceneC10_cell4836.0,,0.0,
U54-TMA-9_sceneC10_cell4854.0,,0.0,
U54-TMA-9_sceneC10_cell4862.0,,0.0,
U54-TMA-9_sceneC10_cell4867.0,,0.0,
U54-TMA-9_sceneC10_cell4890.0,,0.0,
U54-TMA-9_sceneC10_cell5722.0,,1.0,
U54-TMA-9_sceneC10_cell5801.0,,,0.0
U54-TMA-9_sceneC10_cell5856.0,0.0,,
U54-TMA-9_sceneC10_cell6043.0,4.0,0.0,
U54-TMA-9_sceneC10_cell6200.0,4.0,,
U54-TMA-9_sceneC10_cell6367.0,1.0,,
U54-TMA-9_sceneC10_cell6520.0,3.0,,
U54-TMA-9_sceneC10_cell6528.0,38.0,,
U54-TMA-9_sceneC10_cell6604.0,11.0,,
U54-TMA-9_sceneC10_cell6671.0,4.0,,
U54-TMA-9_sceneC10_cell6682.0,4.0,,
U54-TMA-9_sceneC10_cell6697.0,,0.0,
U54-TMA-9_sceneC10_cell6956.0,11.0,0.0,
U54-TMA-9_sceneC10_cell6963.0,,1.0,
U54-TMA-9_sceneC10_cell6989.0,,0.0,
U54-TMA-9_sceneC10_cell6996.0,,0.0,
U54-TMA-9_sceneC10_cell7007.0,,2.0,
U54-TMA-9_sceneC10_cell7010.0,,0.0,
U54-TMA-9_sceneC10_cell7029.0,3.0,,
U54-TMA-9_sceneC10_cell7131.0,2.0,,
U54-TMA-9_sceneC10_cell7157.0,1.0,,
U54-TMA-9_sceneC10_cell7168.0,0.0,,
U54-TMA-9_sceneC11_cell480.0,2.0,,
U54-TMA-9_sceneC11_cell525.0,,0.0,
U54-TMA-9_sceneC11_cell614.0,,0.0,
U54-TMA-9_sceneC11_cell616.0,,0.0,
U54-TMA-9_sceneC11_cell653.0,,,0.0
U54-TMA-9_sceneC11_cell2019.0,,,1.0
U54-TMA-9_sceneC11_cell4283.0,,,0.0
U54-TMA-9_sceneC11_cell4845.0,,2.0,
U54-TMA-9_sceneC11_cell4875.0,,,0.0
U54-TMA-9_sceneC11_cell4882.0,,,0.0
U54-TMA-9_sceneC11_cell4917.0,,,0.0
U54-TMA-9_sceneC11_cell4923.0,,,0.0
U54-TMA-9_sceneC11_cell5532.0,,0.0,
U54-TMA-9_sceneC11_cell5583.0,,0.0,
U54-TMA-9_sceneC11_cell6340.0,,0.0,
U54-TMA-9_sceneC11_cell6976.0,,0.0,
U54-TMA-9_sceneC11_cell7034.0,,0.0,
U54-TMA-9_sceneC11_cell7067.0,,0.0,
U54-TMA-9_sceneC11_cell7123.0,,,0.0
U54-TMA-9_sceneC11_cell7127.0,,,0.0
U54-TMA-9_sceneC11_cell7249.0,2.0,,
U54-TMA-9_sceneC11_cell7262.0,,,0.0
U54-TMA-9_sceneC11_cell7269.0,,,0.0
U54-TMA-9_sceneC11_cell7308.0,,,0.0
U54-TMA-9_sceneC11_cell7405.0,,1.0,
U54-TMA-9_sceneC11_cell7414.0,0.0,,
U54-TMA-9_sceneC11_cell7455.0,,0.0,
U54-TMA-9_sceneC11_cell7600.0,0.0,,
U54-TMA-9_sceneC12_cell98.0,2.0,,
U54-TMA-9_sceneC12_cell666.0,0.0,0.0,
U54-TMA-9_sceneC12_cell695.0,,0.0,0.0
U54-TMA-9_sceneC12_cell708.0,,0.0,
U54-TMA-9_sceneC12_cell716.0,,0.0,0.0
U54-TMA-9_sceneC12_cell734.0,,0.0,0.0
U54-TMA-9_sceneC12_cell737.0,,0.0,
U54-TMA-9_sceneC12_cell746.0,,0.0,0.0
U54-TMA-9_sceneC12_cell777.0,,0.0,
U54-TMA-9_sceneC12_cell782.0,1.0,,
U54-TMA-9_sceneC12_cell803.0,,0.0,
U54-TMA-9_sceneC12_cell879.0,,0.0,
U54-TMA-9_sceneC12_cell883.0,,0.0,
U54-TMA-9_sceneC12_cell1355.0,,0.0,
U54-TMA-9_sceneC12_cell1397.0,,0.0,
U54-TMA-9_sceneC12_cell1470.0,,0.0,
U54-TMA-9_sceneC12_cell1473.0,,0.0,
U54-TMA-9_sceneC12_cell1479.0,,0.0,
U54-TMA-9_sceneC12_cell1565.0,,0.0,
U54-TMA-9_sceneC12_cell1576.0,,0.0,
U54-TMA-9_sceneC12_cell1708.0,,0.0,
U54-TMA-9_sceneC12_cell1796.0,,0.0,
U54-TMA-9_sceneC12_cell2119.0,,0.0,
U54-TMA-9_sceneC12_cell2371.0,,0.0,
U54-TMA-9_sceneC12_cell2403.0,,0.0,
U54-TMA-9_sceneC12_cell2410.0,,0.0,
U54-TMA-9_sceneC12_cell2464.0,,0.0,
U54-TMA-9_sceneC12_cell2598.0,,0.0,
U54-TMA-9_sceneC12_cell2671.0,,0.0,
U54-TMA-9_sceneC12_cell2687.0,,0.0,
U54-TMA-9_sceneC12_cell2726.0,,0.0,
U54-TMA-9_sceneC12_cell2732.0,,3.0,
U54-TMA-9_sceneC12_cell2752.0,,0.0,
U54-TMA-9_sceneC12_cell2784.0,,2.0,
U54-TMA-9_sceneC12_cell2809.0,,2.0,
U54-TMA-9_sceneC12_cell2832.0,,0.0,
U54-TMA-9_sceneC12_cell2844.0,,0.0,
U54-TMA-9_sceneC12_cell2876.0,,0.0,
U54-TMA-9_sceneC12_cell2907.0,,0.0,
U54-TMA-9_sceneC12_cell2997.0,1.0,,
U54-TMA-9_sceneC12_cell3111.0,,0.0,
U54-TMA-9_sceneC12_cell3140.0,,0.0,
U54-TMA-9_sceneC12_cell3171.0,,1.0,
U54-TMA-9_sceneC12_cell3224.0,,0.0,
U54-TMA-9_sceneC12_cell3258.0,,0.0,
U54-TMA-9_sceneC12_cell3283.0,,0.0,
U54-TMA-9_sceneC12_cell3292.0,,0.0,
U54-TMA-9_sceneC12_cell3332.0,1.0,,
U54-TMA-9_sceneC12_cell3348.0,,0.0,
U54-TMA-9_sceneC12_cell3473.0,,0.0,
U54-TMA-9_sceneC12_cell3501.0,,0.0,
U54-TMA-9_sceneC12_cell3503.0,,0.0,
U54-TMA-9_sceneC12_cell3544.0,,0.0,
U54-TMA-9_sceneC12_cell3558.0,,0.0,
U54-TMA-9_sceneC12_cell3564.0,,0.0,
U54-TMA-9_sceneC12_cell3586.0,,0.0,
U54-TMA-9_sceneC12_cell3630.0,,0.0,
U54-TMA-9_sceneC12_cell3659.0,,0.0,
U54-TMA-9_sceneC12_cell3666.0,,0.0,
U54-TMA-9_sceneC12_cell3780.0,,0.0,
U54-TMA-9_sceneC12_cell3787.0,,0.0,
U54-TMA-9_sceneC12_cell3858.0,,0.0,
U54-TMA-9_sceneC12_cell3864.0,,0.0,
U54-TMA-9_sceneC12_cell3939.0,,0.0,
U54-TMA-9_sceneC12_cell3943.0,,0.0,
U54-TMA-9_sceneC12_cell4040.0,,0.0,
U54-TMA-9_sceneC12_cell4327.0,,0.0,
U54-TMA-9_sceneC12_cell4400.0,,0.0,
U54-TMA-9_sceneC12_cell4404.0,0.0,,
U54-TMA-9_sceneC12_cell4503.0,,0.0,
U54-TMA-9_sceneC12_cell4520.0,,1.0,
U54-TMA-9_sceneC12_cell4689.0,,0.0,
U54-TMA-9_sceneC12_cell4734.0,,0.0,
U54-TMA-9_sceneC12_cell4802.0,,0.0,
U54-TMA-9_sceneC12_cell4809.0,,0.0,
U54-TMA-9_sceneC12_cell4901.0,,0.0,
U54-TMA-9_sceneC12_cell4907.0,,0.0,
U54-TMA-9_sceneC12_cell4962.0,,0.0,
U54-TMA-9_sceneC12_cell4994.0,,0.0,
U54-TMA-9_sceneC12_cell5021.0,,0.0,
U54-TMA-9_sceneC12_cell5049.0,,0.0,
U54-TMA-9_sceneC12_cell5093.0,,0.0,
U54-TMA-9_sceneC12_cell5193.0,,0.0,
U54-TMA-9_sceneC12_cell5367.0,,0.0,
U54-TMA-9_sceneC12_cell5389.0,,0.0,
U54-TMA-9_sceneC12_cell5391.0,,0.0,
U54-TMA-9_sceneC12_cell5443.0,,0.0,
U54-TMA-9_sceneC12_cell5456.0,,0.0,
U54-TMA-9_sceneC12_cell5512.0,1.0,,
U54-TMA-9_sceneC12_cell5572.0,,0.0,
U54-TMA-9_sceneC12_cell5576.0,,0.0,
U54-TMA-9_sceneC12_cell5595.0,,1.0,
U54-TMA-9_sceneC12_cell5675.0,,0.0,
U54-TMA-9_sceneC12_cell5810.0,3.0,,
U54-TMA-9_sceneC12_cell5817.0,,0.0,
U54-TMA-9_sceneC12_cell5820.0,,0.0,
U54-TMA-9_sceneC12_cell5829.0,,0.0,
U54-TMA-9_sceneC12_cell5835.0,,0.0,
U54-TMA-9_sceneC12_cell5886.0,,0.0,
U54-TMA-9_sceneC12_cell5895.0,1.0,,
U54-TMA-9_sceneC12_cell5904.0,,0.0,
U54-TMA-9_sceneC12_cell5914.0,,0.0,
U54-TMA-9_sceneC12_cell5995.0,,0.0,
U54-TMA-9_sceneC12_cell6044.0,,0.0,
U54-TMA-9_sceneC12_cell6059.0,,0.0,
U54-TMA-9_sceneC12_cell6129.0,,0.0,
U54-TMA-9_sceneC12_cell6131.0,,0.0,
U54-TMA-9_sceneD01_cell212.0,0.0,,
U54-TMA-9_sceneD01_cell499.0,,0.0,
U54-TMA-9_sceneD01_cell1061.0,,0.0,
U54-TMA-9_sceneD01_cell1133.0,,0.0,
U54-TMA-9_sceneD01_cell1644.0,,,0.0
U54-TMA-9_sceneD01_cell1887.0,,0.0,
U54-TMA-9_sceneD01_cell1925.0,,0.0,
U54-TMA-9_sceneD01_cell2973.0,2.0,,
U54-TMA-9_sceneD01_cell2975.0,0.0,,
U54-TMA-9_sceneD01_cell3301.0,,2.0,
U54-TMA-9_sceneD01_cell3517.0,,1.0,
U54-TMA-9_sceneD01_cell3518.0,0.0,,
U54-TMA-9_sceneD01_cell4666.0,2.0,,
U54-TMA-9_sceneD01_cell4950.0,1.0,,
U54-TMA-9_sceneD01_cell5274.0,9.0,2.0,
U54-TMA-9_sceneD01_cell6038.0,,0.0,
U54-TMA-9_sceneD01_cell6049.0,1.0,0.0,
U54-TMA-9_sceneD01_cell6219.0,1.0,,
U54-TMA-9_sceneD01_cell6910.0,1.0,,
U54-TMA-9_sceneD01_cell6960.0,2.0,,
U54-TMA-9_sceneD01_cell7042.0,1.0,,
U54-TMA-9_sceneD01_cell7152.0,,1.0,
U54-TMA-9_sceneD01_cell7355.0,,4.0,
U54-TMA-9_sceneD02_cell43.0,,,0.0
U54-TMA-9_sceneD02_cell315.0,0.0,,
U54-TMA-9_sceneD02_cell507.0,2.0,,
U54-TMA-9_sceneD02_cell1014.0,0.0,,
U54-TMA-9_sceneD02_cell1229.0,0.0,,
U54-TMA-9_sceneD02_cell1298.0,1.0,,
U54-TMA-9_sceneD02_cell1343.0,1.0,,
U54-TMA-9_sceneD02_cell1352.0,6.0,,
U54-TMA-9_sceneD02_cell1364.0,6.0,,
U54-TMA-9_sceneD02_cell1439.0,1.0,,
U54-TMA-9_sceneD02_cell1492.0,3.0,,
U54-TMA-9_sceneD02_cell1636.0,1.0,,
U54-TMA-9_sceneD02_cell1818.0,0.0,,
U54-TMA-9_sceneD02_cell1834.0,1.0,,
U54-TMA-9_sceneD02_cell1862.0,0.0,,
U54-TMA-9_sceneD02_cell1877.0,1.0,,
U54-TMA-9_sceneD02_cell1879.0,1.0,,
U54-TMA-9_sceneD02_cell2064.0,0.0,,
U54-TMA-9_sceneD02_cell2104.0,0.0,,
U54-TMA-9_sceneD02_cell2533.0,0.0,,
U54-TMA-9_sceneD02_cell2567.0,8.0,,
U54-TMA-9_sceneD02_cell2815.0,10.0,,
U54-TMA-9_sceneD02_cell2863.0,2.0,,
U54-TMA-9_sceneD02_cell2864.0,0.0,,
U54-TMA-9_sceneD02_cell2913.0,3.0,,
U54-TMA-9_sceneD02_cell3011.0,10.0,,
U54-TMA-9_sceneD02_cell3074.0,1.0,,
U54-TMA-9_sceneD02_cell3083.0,1.0,,
U54-TMA-9_sceneD02_cell3087.0,2.0,,
U54-TMA-9_sceneD02_cell3132.0,0.0,,
U54-TMA-9_sceneD02_cell3189.0,1.0,,
U54-TMA-9_sceneD02_cell3218.0,1.0,,
U54-TMA-9_sceneD02_cell3236.0,0.0,,
U54-TMA-9_sceneD02_cell3253.0,0.0,,
U54-TMA-9_sceneD02_cell3256.0,6.0,,
U54-TMA-9_sceneD02_cell3293.0,,1.0,
U54-TMA-9_sceneD02_cell3381.0,,0.0,
U54-TMA-9_sceneD02_cell3592.0,6.0,,
U54-TMA-9_sceneD02_cell3629.0,6.0,,
U54-TMA-9_sceneD02_cell3639.0,5.0,,
U54-TMA-9_sceneD02_cell3696.0,2.0,,
U54-TMA-9_sceneD02_cell3717.0,1.0,,
U54-TMA-9_sceneD02_cell3822.0,2.0,,
U54-TMA-9_sceneD02_cell3898.0,2.0,,
U54-TMA-9_sceneD02_cell3923.0,2.0,,
U54-TMA-9_sceneD02_cell4510.0,0.0,,
U54-TMA-9_sceneD02_cell4763.0,2.0,,
U54-TMA-9_sceneD02_cell4771.0,2.0,,
U54-TMA-9_sceneD02_cell5007.0,,0.0,
U54-TMA-9_sceneD02_cell5029.0,,0.0,
U54-TMA-9_sceneD02_cell5394.0,3.0,,
U54-TMA-9_sceneD02_cell5619.0,4.0,,
U54-TMA-9_sceneD03_cell81.0,,,0.0
U54-TMA-9_sceneD03_cell534.0,0.0,,
U54-TMA-9_sceneD03_cell781.0,5.0,,
U54-TMA-9_sceneD03_cell1454.0,,,0.0
U54-TMA-9_sceneD03_cell1508.0,2.0,,
U54-TMA-9_sceneD03_cell1576.0,0.0,,
U54-TMA-9_sceneD03_cell1615.0,3.0,,
U54-TMA-9_sceneD03_cell1656.0,1.0,,
U54-TMA-9_sceneD03_cell1808.0,3.0,,
U54-TMA-9_sceneD03_cell1887.0,2.0,,
U54-TMA-9_sceneD03_cell2261.0,1.0,,
U54-TMA-9_sceneD03_cell2343.0,1.0,,
U54-TMA-9_sceneD03_cell2383.0,0.0,,
U54-TMA-9_sceneD03_cell2447.0,2.0,,
U54-TMA-9_sceneD03_cell2460.0,0.0,,
U54-TMA-9_sceneD03_cell2508.0,2.0,,
U54-TMA-9_sceneD03_cell2698.0,3.0,,
U54-TMA-9_sceneD03_cell2728.0,1.0,,
U54-TMA-9_sceneD03_cell2749.0,7.0,,
U54-TMA-9_sceneD03_cell2772.0,1.0,,
U54-TMA-9_sceneD03_cell2793.0,1.0,,
U54-TMA-9_sceneD03_cell2796.0,2.0,,
U54-TMA-9_sceneD03_cell2917.0,2.0,,1.0
U54-TMA-9_sceneD03_cell2945.0,2.0,,
U54-TMA-9_sceneD03_cell2948.0,3.0,,
U54-TMA-9_sceneD03_cell3016.0,1.0,,
U54-TMA-9_sceneD03_cell3067.0,2.0,,
U54-TMA-9_sceneD03_cell3220.0,4.0,,
U54-TMA-9_sceneD03_cell3251.0,3.0,,
U54-TMA-9_sceneD03_cell3270.0,2.0,,
U54-TMA-9_sceneD03_cell3301.0,0.0,,
U54-TMA-9_sceneD03_cell3328.0,4.0,,
U54-TMA-9_sceneD03_cell3342.0,0.0,,
U54-TMA-9_sceneD03_cell3442.0,0.0,,
U54-TMA-9_sceneD03_cell3448.0,2.0,,
U54-TMA-9_sceneD03_cell3496.0,1.0,,
U54-TMA-9_sceneD03_cell3498.0,1.0,,
U54-TMA-9_sceneD03_cell3551.0,1.0,,
U54-TMA-9_sceneD03_cell3580.0,3.0,,
U54-TMA-9_sceneD03_cell3676.0,0.0,,
U54-TMA-9_sceneD03_cell3703.0,0.0,,
U54-TMA-9_sceneD03_cell3764.0,0.0,,
U54-TMA-9_sceneD03_cell3825.0,0.0,,
U54-TMA-9_sceneD03_cell3834.0,1.0,,
U54-TMA-9_sceneD03_cell3843.0,1.0,,
U54-TMA-9_sceneD03_cell3964.0,0.0,,
U54-TMA-9_sceneD03_cell4006.0,0.0,,
U54-TMA-9_sceneD03_cell4017.0,2.0,,
U54-TMA-9_sceneD03_cell4048.0,2.0,,
U54-TMA-9_sceneD03_cell4067.0,2.0,,
U54-TMA-9_sceneD03_cell4070.0,0.0,,
U54-TMA-9_sceneD03_cell4084.0,0.0,,
U54-TMA-9_sceneD03_cell4096.0,1.0,,
U54-TMA-9_sceneD03_cell4103.0,2.0,,
U54-TMA-9_sceneD03_cell4120.0,2.0,,
U54-TMA-9_sceneD03_cell4180.0,3.0,,
U54-TMA-9_sceneD03_cell4207.0,0.0,,
U54-TMA-9_sceneD03_cell4208.0,5.0,,
U54-TMA-9_sceneD03_cell4243.0,2.0,,
U54-TMA-9_sceneD03_cell4252.0,1.0,,
U54-TMA-9_sceneD03_cell4267.0,1.0,,
U54-TMA-9_sceneD03_cell4273.0,5.0,,
U54-TMA-9_sceneD03_cell4282.0,2.0,,
U54-TMA-9_sceneD03_cell4312.0,3.0,,
U54-TMA-9_sceneD03_cell4375.0,2.0,,
U54-TMA-9_sceneD03_cell4427.0,0.0,,
U54-TMA-9_sceneD03_cell4588.0,1.0,,
U54-TMA-9_sceneD03_cell4594.0,2.0,,
U54-TMA-9_sceneD03_cell4654.0,0.0,,
U54-TMA-9_sceneD03_cell4672.0,0.0,,
U54-TMA-9_sceneD03_cell4749.0,3.0,,
U54-TMA-9_sceneD03_cell4777.0,0.0,,
U54-TMA-9_sceneD03_cell4783.0,0.0,,
U54-TMA-9_sceneD03_cell4786.0,0.0,,
U54-TMA-9_sceneD03_cell4809.0,1.0,,
U54-TMA-9_sceneD03_cell4821.0,0.0,,
U54-TMA-9_sceneD03_cell4823.0,0.0,,
U54-TMA-9_sceneD03_cell4832.0,0.0,,
U54-TMA-9_sceneD03_cell4875.0,0.0,,
U54-TMA-9_sceneD03_cell4927.0,0.0,,
U54-TMA-9_sceneD03_cell4930.0,0.0,,
U54-TMA-9_sceneD03_cell4945.0,1.0,,
U54-TMA-9_sceneD03_cell4999.0,2.0,,
U54-TMA-9_sceneD03_cell5096.0,0.0,,
U54-TMA-9_sceneD03_cell5121.0,2.0,,
U54-TMA-9_sceneD03_cell5160.0,1.0,,
U54-TMA-9_sceneD03_cell5170.0,2.0,,
U54-TMA-9_sceneD03_cell5194.0,0.0,,
U54-TMA-9_sceneD03_cell5240.0,0.0,,
U54-TMA-9_sceneD03_cell5260.0,2.0,,
U54-TMA-9_sceneD03_cell5285.0,0.0,,
U54-TMA-9_sceneD03_cell5315.0,2.0,,
U54-TMA-9_sceneD03_cell5494.0,1.0,,
U54-TMA-9_sceneD03_cell5524.0,1.0,,
U54-TMA-9_sceneD03_cell5577.0,0.0,,
U54-TMA-9_sceneD03_cell5604.0,4.0,,
U54-TMA-9_sceneD03_cell5636.0,1.0,,
U54-TMA-9_sceneD03_cell5641.0,1.0,,
U54-TMA-9_sceneD03_cell5657.0,3.0,,
U54-TMA-9_sceneD03_cell5697.0,1.0,,
U54-TMA-9_sceneD03_cell5742.0,0.0,,
U54-TMA-9_sceneD03_cell5802.0,2.0,,
U54-TMA-9_sceneD03_cell5892.0,1.0,,
U54-TMA-9_sceneD03_cell5926.0,0.0,,
U54-TMA-9_sceneD03_cell5937.0,0.0,,
U54-TMA-9_sceneD03_cell5942.0,0.0,,
U54-TMA-9_sceneD03_cell5969.0,2.0,,
U54-TMA-9_sceneD03_cell5985.0,0.0,,
U54-TMA-9_sceneD03_cell6006.0,0.0,,
U54-TMA-9_sceneD03_cell6016.0,2.0,,
U54-TMA-9_sceneD03_cell6027.0,0.0,,
U54-TMA-9_sceneD03_cell6057.0,0.0,,
U54-TMA-9_sceneD03_cell6082.0,0.0,,
U54-TMA-9_sceneD03_cell6107.0,1.0,,
U54-TMA-9_sceneD03_cell6133.0,0.0,,
U54-TMA-9_sceneD03_cell6157.0,1.0,,
U54-TMA-9_sceneD03_cell6169.0,2.0,,
U54-TMA-9_sceneD03_cell6172.0,0.0,,
U54-TMA-9_sceneD03_cell6217.0,,,0.0
U54-TMA-9_sceneD03_cell6226.0,2.0,,
U54-TMA-9_sceneD03_cell6273.0,2.0,,
U54-TMA-9_sceneD03_cell6302.0,0.0,,
U54-TMA-9_sceneD03_cell6360.0,1.0,,
U54-TMA-9_sceneD03_cell6368.0,0.0,,
U54-TMA-9_sceneD03_cell6441.0,0.0,,
U54-TMA-9_sceneD03_cell6472.0,,,0.0
U54-TMA-9_sceneD03_cell6482.0,0.0,,
U54-TMA-9_sceneD03_cell6514.0,1.0,,
U54-TMA-9_sceneD03_cell6670.0,0.0,,
U54-TMA-9_sceneD03_cell6728.0,0.0,,
U54-TMA-9_sceneD03_cell6782.0,0.0,,
U54-TMA-9_sceneD03_cell6798.0,0.0,,
U54-TMA-9_sceneD03_cell6813.0,0.0,,
U54-TMA-9_sceneD03_cell6841.0,2.0,,
U54-TMA-9_sceneD03_cell6863.0,0.0,,
U54-TMA-9_sceneD03_cell6874.0,1.0,,
U54-TMA-9_sceneD03_cell6966.0,3.0,,
U54-TMA-9_sceneD03_cell6974.0,1.0,,
U54-TMA-9_sceneD03_cell7035.0,0.0,,
U54-TMA-9_sceneD03_cell7157.0,0.0,,
U54-TMA-9_sceneD03_cell7175.0,2.0,,
U54-TMA-9_sceneD03_cell7213.0,0.0,,
U54-TMA-9_sceneD03_cell7239.0,4.0,,
U54-TMA-9_sceneD03_cell7263.0,0.0,,
U54-TMA-9_sceneD03_cell7299.0,0.0,,
U54-TMA-9_sceneD03_cell7328.0,0.0,,
U54-TMA-9_sceneD03_cell7349.0,0.0,,
U54-TMA-9_sceneD03_cell7370.0,1.0,,
U54-TMA-9_sceneD03_cell7377.0,0.0,,
U54-TMA-9_sceneD03_cell7515.0,1.0,,
U54-TMA-9_sceneD03_cell7545.0,0.0,,
U54-TMA-9_sceneD03_cell7552.0,2.0,,
U54-TMA-9_sceneD03_cell7562.0,0.0,,
